City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,Helena Valley Southeast,46.6153,-111.9216,289.26,52,0,3.6,US,2024-05-06
162,Corner Brook,48.9667,-57.9484,280.24,78,100,1.04,CA,2024-05-06
163,Fort Bragg,35.139,-79.006,295.47,91,20,0.0,US,2024-05-06
164,Ust'-Kulom,61.6864,53.6902,271.74,73,100,1.37,RU,2024-05-06
165,Jeddah,21.5169,39.2192,299.07,36,0,0.0,SA,2024-05-06
166,Grand Falls-Windsor,48.9332,-55.6649,280.05,54,45,1.78,CA,2024-05-06
167,Bakanas,44.8081,76.2772,288.49,79,96,6.2,KZ,2024-05-06
168,Ola,59.5833,151.2833,276.56,78,46,0.62,RU,2024-05-06
169,Saint Joseph,39.7686,-94.8466,289.57,80,20,4.63,US,2024-05-06
170,Lupane,-18.9315,27.807,287.31,48,0,2.55,ZW,2024-05-06
171,Luderitz,-26.6481,15.1594,288.62,70,0,4.11,NA,2024-05-06
172,Callao,-12.0667,-77.15,295.22,82,40,5.14,PE,2024-05-06
173,Lib,8.3122,167.3766,301.55,78,100,8.27,MH,2024-05-06
174,Zaragoza,41.6561,-0.8773,291.49,73,75,1.54,ES,2024-05-06
175,Fortuna,40.5982,-124.1573,286.85,65,75,3.6,US,2024-05-06
176,Port Douglas,-16.4833,145.4667,299.08,71,100,3.97,AU,2024-05-06
177,Tromso,69.6496,18.957,273.16,69,100,0.51,NO,2024-05-06
178,Atafu Village,-8.5421,-172.5159,302.62,74,24,3.72,TK,2024-05-06
179,Ambato Boeny,-16.4667,46.7167,294.68,69,85,1.6,MG,2024-05-06
180,Palmer,42.1584,-72.3287,282.8,83,100,2.06,US,2024-05-06
181,Beichengqu,40.4394,113.1536,289.23,39,74,3.48,CN,2024-05-06
182,Taro,-8.3862,115.28,297.15,84,71,1.64,ID,2024-05-06
183,Haiku-Pauwela,20.9219,-156.3051,300.16,66,40,11.32,US,2024-05-06
184,Lebu,-37.6167,-73.65,282.43,80,78,5.67,CL,2024-05-06
185,Mvomero,-6.25,38.6667,295.71,91,100,2.2,TZ,2024-05-06
186,Cambria,35.5641,-121.0808,292.35,77,6,4.02,US,2024-05-06
187,Tolanaro,-25.0319,46.9987,295.19,78,20,7.2,MG,2024-05-06
188,Bougouni,11.417,-7.479,304.05,44,98,4.37,ML,2024-05-06
189,Korla,41.7597,86.1469,297.49,12,0,4.08,CN,2024-05-06
190,Carnarvon,-24.8667,113.6333,294.75,45,0,8.1,AU,2024-05-06
191,Opoczno,51.3757,20.2783,285.3,91,28,3.35,PL,2024-05-06
192,Uturoa,-16.7333,-151.4333,301.24,79,7,8.14,PF,2024-05-06
193,Sao Jose Da Coroa Grande,-8.8978,-35.1478,299.64,85,5,5.1,BR,2024-05-06
194,Twon-Brass,4.3151,6.2418,301.98,78,76,3.95,NG,2024-05-06
195,Weno,7.4515,151.8468,301.26,82,43,6.73,FM,2024-05-06
196,Cayon,17.35,-62.7333,299.89,83,40,2.57,KN,2024-05-06
197,Aasiaat,68.7098,-52.8699,260.85,93,93,2.72,GL,2024-05-06
198,Laguna,38.421,-121.4238,292.14,42,40,4.12,US,2024-05-06
199,Port Alfred,-33.5906,26.891,294.89,41,28,4.7,ZA,2024-05-06
200,Alofi,-19.0595,-169.9187,298.09,94,75,2.06,NU,2024-05-06
201,Santo Antonio,-6.3106,-35.4789,296.77,91,61,3.86,BR,2024-05-06
202,Klyuchi,52.2667,79.1667,279.11,59,0,4.4,RU,2024-05-06
203,Nguigmi,14.2495,13.1092,303.61,22,6,3.85,NE,2024-05-06
204,Nchelenge,-9.3451,28.734,293.24,75,100,3.45,ZM,2024-05-06
205,Sidi Ifni,29.3797,-10.173,293.01,86,100,2.23,MA,2024-05-06
206,Uvarovo,51.9849,42.2615,276.89,93,8,3.04,RU,2024-05-06
207,St. John'S,47.5649,-52.7093,272.68,91,8,1.34,CA,2024-05-06
208,Ambalangoda,6.2355,80.0538,302.09,81,96,2.78,LK,2024-05-06
209,Camana,-16.6228,-72.7111,293.56,88,85,2.85,PE,2024-05-06
210,Eminabad,32.0422,74.2594,300.13,36,0,1.35,PK,2024-05-06
211,Mogocha,53.7333,119.7667,287.81,26,100,1.38,RU,2024-05-06
212,Mogadishu,2.0371,45.3438,300.24,84,100,4.59,SO,2024-05-06
213,Pickering,43.9001,-79.1329,289.96,92,100,0.0,CA,2024-05-06
214,Belyayevka,51.3974,56.4096,275.91,60,5,3.65,RU,2024-05-06
215,Rancho Palos Verdes,33.7445,-118.387,293.18,71,20,7.72,US,2024-05-06
216,Pacific Grove,36.6177,-121.9166,290.12,69,0,5.14,US,2024-05-06
217,San Luis De La Loma,17.2706,-100.8939,300.12,69,99,2.32,MX,2024-05-06
218,Orbeasca De Sus,44.15,25.3167,285.82,69,7,0.43,RO,2024-05-06
219,Tazovsky,67.4667,78.7,266.78,94,100,5.94,RU,2024-05-06
